Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Morning,Afternoon,Night
Aloo Posto,West Bengal,Veg,None,150,20,10.0,5,2,150,Vitamin C,No,Yes,Yes
Shorshe Ilish,West Bengal,Non-Veg,None,300,5,25.0,20,1,700,"Vitamin D, Vitamin B12",No,Yes,Yes
Chingri Malai Curry,West Bengal,Non-Veg,None,350,10,25.0,30,5,800,"Vitamin A, Vitamin B12",No,Yes,Yes
Bhetki Paturi,West Bengal,Non-Veg,None,250,8,15.0,20,2,600,Vitamin B12,No,Yes,Yes
Dhokar Dalna,West Bengal,Veg,None,200,30,8.0,12,5,300,"Vitamin B, Vitamin C",No,Yes,Yes
Cholar Dal,West Bengal,Veg,None,180,28,5.0,9,4,250,Vitamin B,No,Yes,Yes
Beguni,West Bengal,Veg,None,250,30,15.0,5,4,200,Vitamin C,No,Yes,Yes
Murgi Korma,West Bengal,Non-Veg,None,400,12,30.0,25,6,800,Vitamin B12,No,Yes,Yes
Kosha Mangsho,West Bengal,Non-Veg,None,350,8,30.0,20,2,750,Vitamin B12,No,Yes,Yes
Mishti Doi,West Bengal,Veg,Dairy,180,24,5.0,8,16,80,"Vitamin A, Vitamin B12",No,Yes,Yes
Kachori,West Bengal,Veg,Gluten,220,30,12.0,5,2,250,Vitamin B,Yes,No,No
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,20.0,25,2,650,Vitamin B12,No,Yes,Yes
Bangalir Bhorta,West Bengal,Veg,None,200,25,7.0,10,3,300,Vitamin C,No,Yes,Yes
Shukto,West Bengal,Veg,None,150,20,6.0,4,5,200,Vitamin C,No,Yes,Yes
Luchi Aloo,West Bengal,Veg,Gluten,300,40,15.0,6,2,300,Vitamin B,No,Yes,Yes
Macher Jhol,West Bengal,Non-Veg,None,250,10,15.0,20,3,500,Vitamin B12,No,Yes,Yes
Aloo Dum,West Bengal,Veg,None,200,30,8.0,6,3,200,Vitamin C,No,Yes,Yes
Chingri Malai,West Bengal,Non-Veg,None,320,12,25.0,20,5,700,Vitamin A,No,Yes,Yes
Khichuri,West Bengal,Veg,None,250,40,8.0,8,2,300,Vitamin B,No,Yes,Yes
Patishapta,West Bengal,Veg,"Dairy, Gluten",180,25,5.0,10,12,150,Vitamin B12,No,Yes,Yes
Rasgulla,West Bengal,Veg,Dairy,250,30,8.0,20,18,100,"Vitamin A, Vitamin B12",No,Yes,Yes
Sandesh,West Bengal,Veg,Dairy,150,20,4.0,8,10,90,Vitamin A,No,Yes,Yes
Mutton Rezala,West Bengal,Non-Veg,None,400,10,35.0,25,6,850,Vitamin B12,No,Yes,Yes
Pulao,West Bengal,Veg,None,250,35,8.0,5,2,250,Vitamin B,No,Yes,Yes
Jhalmuri,West Bengal,Veg,None,200,30,10.0,4,6,150,Vitamin C,No,Yes,Yes
Paturi,West Bengal,Non-Veg,None,270,12,20.0,22,3,600,Vitamin B12,No,Yes,Yes
Paatishapta,West Bengal,Veg,Dairy,200,25,6.0,12,15,150,Vitamin B12,No,Yes,Yes
Shingara,West Bengal,Veg,Gluten,240,30,12.0,6,3,250,Vitamin B,No,Yes,Yes
Chingri Malai,West Bengal,Non-Veg,None,350,14,25.0,20,7,750,Vitamin A,No,Yes,Yes
Ghoogni,West Bengal,Veg,None,180,25,5.0,7,3,200,Vitamin C,No,Yes,Yes
Kacha Mango Chutney,West Bengal,Veg,None,100,15,1.0,1,12,50,Vitamin C,No,Yes,Yes
Tandoori Murg,West Bengal,Non-Veg,None,300,8,20.0,25,2,700,Vitamin B12,No,Yes,Yes
Kacha Aam er Chatni,West Bengal,Veg,None,120,20,0.0,0,15,70,Vitamin C,No,Yes,Yes
Labra,West Bengal,Veg,None,200,30,8.0,5,4,250,Vitamin C,No,Yes,Yes
Paturi Bhetki,West Bengal,Non-Veg,None,280,10,20.0,18,4,650,Vitamin B12,No,Yes,Yes
Sukto,West Bengal,Veg,None,170,25,6.0,4,4,200,Vitamin C,No,Yes,Yes
Methi Thepla,West Bengal,Veg,Gluten,220,35,10.0,8,3,300,Vitamin B,No,Yes,Yes
Vegetable Chop,West Bengal,Veg,None,250,30,12.0,7,5,300,Vitamin C,No,Yes,Yes
Murgir Korma,West Bengal,Non-Veg,None,350,12,28.0,22,4,800,Vitamin B12,No,Yes,Yes
Bhapa Ilish,West Bengal,Non-Veg,None,280,6,22.0,25,3,700,Vitamin B12,No,Yes,Yes
Moong Dal,West Bengal,Veg,None,150,25,4.0,10,2,250,Vitamin B,No,Yes,Yes
Biryani,West Bengal,Non-Veg,None,400,45,15.0,20,5,700,Vitamin B,No,Yes,Yes
Chingri Malai,West Bengal,Non-Veg,None,350,12,28.0,22,6,750,Vitamin A,No,Yes,Yes
Murgir Kasha,West Bengal,Non-Veg,None,400,10,30.0,25,7,800,Vitamin B12,No,Yes,Yes
Kolkata Kachori,West Bengal,Veg,Gluten,220,30,12.0,8,4,250,Vitamin B,Yes,No,No
Aloo Bharta,West Bengal,Veg,None,180,25,6.0,5,3,200,Vitamin C,No,Yes,Yes
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,18.0,25,2,650,Vitamin B12,No,Yes,Yes
Patishapta,West Bengal,Veg,Dairy,200,28,6.0,12,10,150,Vitamin B12,No,Yes,Yes
Cholar Dal,West Bengal,Veg,None,180,28,5.0,10,4,250,Vitamin B,No,Yes,Yes
Ghoogni,West Bengal,Veg,None,190,26,6.0,7,3,220,Vitamin C,No,Yes,Yes
Patishapta,West Bengal,Veg,Dairy,200,25,5.0,10,12,150,Vitamin B12,No,Yes,Yes
Mughlai Paratha,West Bengal,Veg,Gluten,300,40,15.0,8,3,350,Vitamin B,Yes,No,No
Ghoogni,West Bengal,Veg,None,200,25,6.0,7,3,200,Vitamin C,No,Yes,Yes
Aloo Keema,Uttarakhand,Non-Veg,None,350,30,20.0,15,5,500,"Vitamin A, B12",No,Yes,Yes
Bhatt Ki Churkani,Uttarakhand,Veg,None,300,40,10.0,12,4,400,"Vitamin B, C",No,Yes,Yes
Chainsoo,Uttarakhand,Veg,None,250,35,8.0,14,3,350,"Vitamin B, Iron",No,Yes,Yes
Kumaoni Raita,Uttarakhand,Veg,Dairy,150,15,8.0,6,2,200,"Vitamin A, B12",No,Yes,Yes
